"activity.number" "activity.name" "subject" "Time.BodyAcc_mean_X"
"1" 1 "WALKING" 1 0.277330758736842
"2" 1 "WALKING" 2 0.276426586440678
"3" 1 "WALKING" 3 0.275567462068966
"4" 1 "WALKING" 4 0.278582015166667
"5" 1 "WALKING" 5 0.27784234625
"6" 1 "WALKING" 6 0.283658868070175
"7" 1 "WALKING" 7 0.275592961754386
"8" 1 "WALKING" 8 0.27468631
"9" 1 "WALKING" 9 0.278502842115385
"10" 1 "WALKING" 10 0.278574076603774
"11" 1 "WALKING" 11 0.271821892881356
"12" 1 "WALKING" 12 0.2771286656
"13" 1 "WALKING" 13 0.275883130350877
"14" 1 "WALKING" 14 0.271959598644068
"15" 1 "WALKING" 15 0.273899207962963
"16" 1 "WALKING" 16 0.276023564509804
"17" 1 "WALKING" 17 0.272341855245902
"18" 1 "WALKING" 18 0.273887758571429
"19" 1 "WALKING" 19 0.273931172307692
"20" 1 "WALKING" 20 0.272589336470588
"21" 1 "WALKING" 21 0.279183526730769
"22" 1 "WALKING" 22 0.27886459
"23" 1 "WALKING" 23 0.273211884237288
"24" 1 "WALKING" 24 0.276980816034483
"25" 1 "WALKING" 25 0.278992759054054
"26" 1 "WALKING" 26 0.279264443728814
"27" 1 "WALKING" 27 0.276849485438596
"28" 1 "WALKING" 28 0.281228223888889
"29" 1 "WALKING" 29 0.271999916792453
"30" 1 "WALKING" 30 0.276406758
"31" 2 "WALKING_UPSTAIRS" 1 0.255461689622641
"32" 2 "WALKING_UPSTAIRS" 2 0.247164790395833
"33" 2 "WALKING_UPSTAIRS" 3 0.260819873067797
"34" 2 "WALKING_UPSTAIRS" 4 0.270876696730769
"35" 2 "WALKING_UPSTAIRS" 5 0.268459469914894
"36" 2 "WALKING_UPSTAIRS" 6 0.268229355098039
"37" 2 "WALKING_UPSTAIRS" 7 0.248706923078431
"38" 2 "WALKING_UPSTAIRS" 8 0.258880152048781
"39" 2 "WALKING_UPSTAIRS" 9 0.262436475714286
"40" 2 "WALKING_UPSTAIRS" 10 0.267121853404255
"41" 2 "WALKING_UPSTAIRS" 11 0.263775859277778
"42" 2 "WALKING_UPSTAIRS" 12 0.272970338653846
"43" 2 "WALKING_UPSTAIRS" 13 0.258203939581818
"44" 2 "WALKING_UPSTAIRS" 14 0.26242106612963
"45" 2 "WALKING_UPSTAIRS" 15 0.270187595833333
"46" 2 "WALKING_UPSTAIRS" 16 0.255986102627451
"47" 2 "WALKING_UPSTAIRS" 17 0.252604768583333
"48" 2 "WALKING_UPSTAIRS" 18 0.265401201896552
"49" 2 "WALKING_UPSTAIRS" 19 0.242118808925
"50" 2 "WALKING_UPSTAIRS" 20 0.252098317156863
